gene.name,LAS1L Up,TEX10 Up,PELP1 Up,SENP3 Up,WDR18 Up,LAS1L Down,TEX10 Down,PELP1 Down,SENP3 Down,WDR18 Down,ChIP,,,,
WDR18,0,0,0,0,0,0,0,0,0,1,1,,,,
SLC9A3,0,0,0,0,0,0,0,1,1,1,1,,,,
IGFBP2,0,0,0,0,0,0,0,1,1,1,1,,,,
ZDHHC2,0,0,1,1,1,0,0,0,0,0,1,,,,
LINC00665,0,0,0,0,0,0,0,0,1,1,1,,,,
RCN3,0,0,0,0,0,0,0,0,1,1,1,,,,
NOSIP,0,0,0,0,0,0,0,0,1,1,1,,,,
PRMT1,0,0,0,0,0,0,0,0,1,1,1,,,,
ACER2,0,0,0,1,1,0,0,1,0,0,1,,,,
NHLRC3,0,0,1,1,1,0,0,0,0,0,1,,,,
AP2A1,0,0,0,0,0,0,0,0,1,1,1,,,,
ZNF134,0,0,0,0,0,0,0,0,1,1,1,,,,
SLC16A1,0,0,0,0,0,0,0,0,1,1,1,,,,
SLC6A20,0,0,0,0,0,0,0,1,1,1,1,,,,
CDH11,0,0,1,0,0,0,0,0,1,1,1,,,,
SLC37A2,0,0,0,1,1,0,0,1,0,0,1,,,,
FAM134B,0,0,0,1,1,0,0,0,0,0,1,,,,
TMEM56,0,0,1,1,1,0,1,0,0,0,1,,,,
PLEKHA4,0,0,0,0,0,0,0,1,1,1,1,,,,
BMF,0,0,0,1,1,0,0,0,0,0,1,,,,
EXOC4,0,0,0,0,0,0,0,0,0,1,1,,,,
STRA6,0,0,0,1,1,0,0,1,0,0,1,,,,
MATK,0,0,0,0,0,0,0,0,1,1,1,,,,
LCK,0,0,0,0,0,0,0,1,1,1,1,,,,
RUVBL2,0,0,0,0,0,0,0,0,1,1,1,,,,
GEM,0,0,0,0,0,1,0,0,0,1,1,,,,
UBE2S,0,0,0,0,0,0,0,0,1,1,1,,,,
SRPX2,0,0,0,1,1,0,0,1,0,0,1,,,,
PPP5C,0,0,0,0,0,0,0,0,1,1,1,,,,
C16orf52,0,0,0,1,1,0,0,0,0,0,1,,,,
AKT1S1,0,0,0,0,0,0,0,0,1,1,1,,,,
RDX,0,0,0,1,1,0,1,0,0,0,1,,,,
CHST15,0,0,0,0,0,0,0,0,1,1,1,,,,
MYO1A,0,0,0,0,0,0,0,1,1,1,1,,,,
SPRR1B,0,0,0,0,0,1,0,1,1,1,1,,,,
IL20RA,0,0,1,1,1,0,0,0,0,0,1,,,,
CNGA1,0,0,0,1,1,0,0,0,0,0,1,,,,
APBB1IP,0,0,0,0,0,0,0,0,1,1,1,,,,
PLA2G2A,1,0,1,0,0,0,0,0,1,1,1,,,,
UCP2,0,0,0,1,1,0,0,0,0,0,1,,,,
KRT6B,0,0,0,0,0,0,0,1,1,1,1,,,,
HTR1D,0,0,0,0,0,0,0,0,1,1,1,,,,
MPP1,0,0,0,0,0,0,0,1,1,1,1,,,,
PVR,0,0,0,0,0,0,0,0,1,1,1,,,,
KRT6A,0,0,0,0,0,0,0,1,1,1,1,,,,
NPTN,0,0,0,1,1,0,0,0,0,0,1,,,,
ARHGAP29,0,0,0,1,1,0,0,0,0,0,1,,,,
ALDH1A1,0,0,0,0,0,0,0,0,1,1,1,,,,
FBP1,0,0,0,0,0,0,0,0,1,1,1,,,,
KLHL29,0,0,0,1,1,0,0,0,0,0,1,,,,
VGF,0,0,0,0,0,1,0,1,1,1,1,,,,
HSPBP1,0,0,0,0,0,0,0,0,1,1,1,,,,
RASA2,0,0,1,1,1,0,0,0,0,0,1,,,,
ARC,0,0,0,0,0,1,0,1,1,1,1,,,,
FTL,1,0,0,0,0,0,0,0,1,1,1,,,,
MSMO1,0,0,1,1,1,0,0,0,0,0,1,,,,
PI3,0,0,0,0,0,0,0,1,1,1,1,,,,
CREG1,0,0,1,1,1,0,0,0,0,0,1,,,,
EGR3,0,0,0,0,0,0,0,1,1,1,1,,,,
PCDH9,0,0,0,0,0,0,0,1,1,1,1,,,,
PSMC4,0,0,0,0,0,0,0,0,1,1,1,,,,
C9orf152,0,0,0,0,0,0,0,0,1,1,1,,,,
